,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
92,"HEBER FONTANA, LUIS ALBERTO",1957-12-22,Senador,Partido Nacional,Titular,2020,2020,HEBER,FONTANA,LUIS,ALBERTO,1,48,2015-02-15,2020-02-14,1985-2020
92,"HEBER FONTANA, LUIS ALBERTO",1957-12-22,Senador,Partido Nacional,Titular,2015,2020,HEBER,FONTANA,LUIS,ALBERTO,1,48,2015-02-15,2020-02-14,1985-2020
93,"HERNANDEZ BERTALOT, SILVIA ESTHER",1957-10-28,Diputado,Partido Nacional,Suplente,2015,2020,HERNANDEZ,BERTALOT,SILVIA,ESTHER,0,48,2015-02-15,2020-02-14,1985-2020
94,"HERNANDEZ GUADALUPE, PEDRO CESAR",1953-01-25,Diputado,Frente Amplio,Suplente,2015,2020,HERNANDEZ,GUADALUPE,PEDRO,CESAR,1,48,2015-02-15,2020-02-14,1985-2020
95,"HUGO IBORRA, CLAUDIA CECILIA",,Diputado,Frente Amplio,Titular,2018,2020,HUGO,IBORRA,CLAUDIA,CECILIA,0,48,2015-02-15,2020-02-14,1985-2020
95,"HUGO IBORRA, CLAUDIA CECILIA",,Diputado,Frente Amplio,Suplente,2015,2015,HUGO,IBORRA,CLAUDIA,CECILIA,0,48,2015-02-15,2020-02-14,1985-2020
96,"INZAURRALDE GUILLEN, ALEXANDRA KARINA",1972-09-03,Senador,Partido Nacional,Suplente,2020,2020,INZAURRALDE,GUILLEN,ALEXANDRA,KARINA,0,48,2015-02-15,2020-02-14,1985-2020
96,"INZAURRALDE GUILLEN, ALEXANDRA KARINA",1972-09-03,Senador,Partido Nacional,Suplente,2015,2020,INZAURRALDE,GUILLEN,ALEXANDRA,KARINA,0,48,2015-02-15,2020-02-14,1985-2020
97,"IRAZABAL CALLERI, BENJAMIN EDUARDO",1959-04-15,Diputado,Partido Nacional,Titular,2015,2020,IRAZABAL,CALLERI,BENJAMIN,EDUARDO,1,48,2015-02-15,2020-02-14,1985-2020
98,"ITURRALDE VINAS, PABLO LUIS",1959-09-23,Diputado,Partido Nacional,Titular,2015,2020,ITURRALDE,VINAS,PABLO,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
98,"ITURRALDE VINAS, PABLO LUIS",1959-09-23,Senador,Partido Nacional,Suplente,2015,2019,ITURRALDE,VINAS,PABLO,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
99,"JISDONIAN TAKESSIAN, PEDRO FEDERICO",1984-03-30,Diputado,Partido Nacional,Suplente,2015,2020,JISDONIAN,TAKESSIAN,PEDRO,FEDERICO,1,48,2015-02-15,2020-02-14,1985-2020
